year,amount,inflation rate
1900,1.00,0.01
1901,1.01,0.01
1902,1.02,0.01
1903,1.05,0.02
1904,1.06,0.01
1905,1.05,-0.01
1906,1.07,0.02
1907,1.12,0.04
1908,1.10,-0.02
1909,1.08,-0.01
1910,1.13,0.04
1911,1.13,0.00
1912,1.15,0.02
1913,1.18,0.02
1914,1.19,0.01
1915,1.20,0.01
1916,1.30,0.08
1917,1.52,0.17
1918,1.80,0.18
1919,2.06,0.15
1920,2.38,0.16
1921,2.13,-0.11
1922,2.00,-0.06
1923,2.04,0.02
1924,2.04,0.00
1925,2.08,0.02
1926,2.11,0.01
1927,2.07,-0.02
1928,2.04,-0.02
1929,2.04,0.00
1930,1.99,-0.02
1931,1.81,-0.09
1932,1.63,-0.10
1933,1.55,-0.05
1934,1.60,0.03
1935,1.63,0.02
1936,1.65,0.01
1937,1.71,0.04
1938,1.68,-0.02
1939,1.65,-0.01
1940,1.67,0.01
1941,1.75,0.05
1942,1.94,0.11
1943,2.06,0.06
1944,2.10,0.02
1945,2.14,0.02
1946,2.32,0.08
1947,2.65,0.14
1948,2.87,0.08
1949,2.83,-0.01
1950,2.87,0.01
1951,3.10,0.08
1952,3.15,0.02
1953,3.18,0.01
1954,3.20,0.01
1955,3.19,-0.00
1956,3.24,0.01
1957,3.35,0.03
1958,3.44,0.03
1959,3.46,0.01
1960,3.52,0.02
1961,3.56,0.01
1962,3.60,0.01
1963,3.64,0.01
1964,3.69,0.01
1965,3.75,0.02
1966,3.86,0.03
1967,3.98,0.03
1968,4.14,0.04
1969,4.37,0.05
1970,4.62,0.06
1971,4.82,0.04
1972,4.98,0.03
1973,5.29,0.06
1974,5.87,0.11
1975,6.40,0.09
1976,6.77,0.06
1977,7.21,0.07
1978,7.76,0.08
1979,8.64,0.11
1980,9.81,0.13
1981,10.82,0.10
1982,11.49,0.06
1983,11.86,0.03
1984,12.37,0.04
1985,12.81,0.04
1986,13.05,0.02
1987,13.52,0.04
1988,14.08,0.04
1989,14.76,0.05
1990,15.56,0.05
1991,16.21,0.04
1992,16.70,0.03
1993,17.20,0.03
1994,17.64,0.03
1995,18.14,0.03
1996,18.68,0.03
1997,19.11,0.02
1998,19.40,0.02
1999,19.83,0.02
2000,20.50,0.03
2001,21.08,0.03
2002,21.42,0.02
2003,21.90,0.02
2004,22.49,0.03
2005,23.25,0.03
2006,24.00,0.03
2007,24.68,0.03
2008,25.63,0.04
2009,25.54,-0.00
2010,25.96,0.02
2011,26.78,0.03
2012,27.33,0.02
2013,27.73,0.01
2014,28.18,0.02
2015,28.22,0.00
2016,28.57,0.01
2017,29.18,0.02
2018,29.91,0.02
2019,30.44,0.02
2020,30.81,0.01
2021,32.26,0.05
2022,35.48,0.10
